api_clean,well_type
17731017,UNKNOWN
17733487H1,HORIZONTAL
17730520,UNKNOWN
17730436,UNKNOWN
17730185,UNKNOWN
17730606,UNKNOWN
17731015,UNKNOWN
17730487,UNKNOWN
17730447,UNKNOWN
17732992H1,HORIZONTAL
17732186H1,HORIZONTAL
17730449,UNKNOWN
17732742,UNKNOWN
17732041,UNKNOWN
17733183H1,HORIZONTAL
17732169H1,HORIZONTAL
17731929,UNKNOWN
17733074H1,HORIZONTAL
17732237HW,HORIZONTAL
17732187HW,HORIZONTAL
17730879,UNKNOWN
17730627,UNKNOWN
17731302,UNKNOWN
17731927H1,HORIZONTAL
17730970,UNKNOWN
17732015HW,HORIZONTAL
17730626,UNKNOWN
17733306H1,HORIZONTAL
17732107H1,HORIZONTAL
17732504H1,HORIZONTAL
17732511H1,HORIZONTAL
12333523H1,HORIZONTAL
17732642H1,HORIZONTAL
17733009H1,HORIZONTAL
17732402H1,HORIZONTAL
17732488H1,HORIZONTAL
17732443H1,HORIZONTAL
17732374H1,HORIZONTAL
17732970H1,HORIZONTAL
17732310H1,HORIZONTAL
17731597,UNKNOWN
17731827H1,HORIZONTAL
17730573,UNKNOWN
17731890H1,HORIZONTAL
17732227H1,HORIZONTAL
17732361H1,HORIZONTAL
17732353H1,HORIZONTAL
17731939H1,HORIZONTAL
17732973H1,HORIZONTAL
17732974H1,HORIZONTAL
17732897H1,HORIZONTAL
17732664,UNKNOWN
17732175H1,HORIZONTAL
17730431,UNKNOWN
17731018,UNKNOWN
17730527,UNKNOWN
17730907H1,HORIZONTAL
17733113H1,HORIZONTAL
17733076H1,HORIZONTAL
17730561,UNKNOWN
17733077H1,HORIZONTAL
17733078H1,HORIZONTAL
17733443H1,HORIZONTAL
17733079H1,HORIZONTAL
17731216,UNKNOWN
17732164HW,HORIZONTAL
17733384H1,HORIZONTAL
17730566,UNKNOWN
17731786H1,HORIZONTAL
17733327H1,HORIZONTAL
17731844H1,HORIZONTAL
17730822,UNKNOWN
17730508,UNKNOWN
17732237H1,HORIZONTAL
17730861,UNKNOWN
17732624H1,HORIZONTAL
17733652H1,HORIZONTAL
17732433H1,HORIZONTAL
17733316H1,HORIZONTAL
17733637H1,HORIZONTAL
17732238H1,HORIZONTAL
17733106H1,HORIZONTAL
17732611H1,HORIZONTAL
17732694H1,HORIZONTAL
17733547H1,HORIZONTAL
17733057H1,HORIZONTAL
17732193H1,HORIZONTAL
17732546H1,HORIZONTAL
17732823H1,HORIZONTAL
17731900H1,HORIZONTAL
17732534H1,HORIZONTAL
17732464H1,HORIZONTAL
17732932H1,HORIZONTAL
17732460H1,HORIZONTAL
17732351H1,HORIZONTAL
17732954H1,HORIZONTAL
17732192H1,HORIZONTAL
17732158H1,HORIZONTAL
17732849H1,HORIZONTAL
17732099H1,HORIZONTAL
17732790H1,HORIZONTAL
17732220H1,HORIZONTAL
17730630HW,HORIZONTAL
17731162,UNKNOWN
17730655,UNKNOWN
17730521,UNKNOWN
17731142,UNKNOWN
17730647,UNKNOWN
17730847,UNKNOWN
17731178,UNKNOWN
17733050H1,HORIZONTAL
17730551,UNKNOWN
17731915H1,HORIZONTAL
17731724,UNKNOWN
17730657,UNKNOWN
17700334,UNKNOWN
17731410,UNKNOWN
17731683,UNKNOWN
17731736,UNKNOWN
17731982H1,HORIZONTAL
17732577H1,HORIZONTAL
17734636H1,HORIZONTAL
17734638H1,HORIZONTAL
17730400,UNKNOWN
17733739HW,HORIZONTAL
17731099,UNKNOWN
17731130,UNKNOWN
17731254H2,HORIZONTAL
17731272,UNKNOWN
17731513,UNKNOWN
17731414,UNKNOWN
17731548,UNKNOWN
17731595,UNKNOWN
17731004,UNKNOWN
17731240,UNKNOWN
17731168,UNKNOWN
17731144,UNKNOWN
17700652,UNKNOWN
17700538,UNKNOWN
17700537,UNKNOWN
17731525,UNKNOWN
17700351,UNKNOWN
17731668,UNKNOWN
17731564,UNKNOWN
17730859,UNKNOWN
17732632H1,HORIZONTAL
17733555H1,HORIZONTAL
17733556H1,HORIZONTAL
17733492H1,HORIZONTAL
17733176H1,HORIZONTAL
17733658H1,HORIZONTAL
17730539,UNKNOWN
17731553D1,DIRECTIONAL
