rrc_lease_id,abstract_label
20584,A-354
15888,A-228
16691,A-223
20285,A-277
9193,A-482
20994,A-137
10705,A-550
291795,A-373
17968,A-112
17982,A-25
18831,A-37
17221,A-12
17008,A-284
11090,A-109
13543,A-177
19048,A-37
15380,A-4
20094,A-99
291736,A-247
17404,A-36
17333,A-470
16275,A-74
10250,A-233
17475,A-448
16692,A-223
16774,A-233
16854,A-132
13418,A-209
17240,A-229
17315,A-79
21149,A-247
7939,A-87
15889,A-289
21010,A-46
17940,A-146
295631,A-289
21481,A-104
12690,A-380
16351,A-79
20794,A-247
17432,A-75
298677,A-358
16483,A-29
11528,A-96
16605,A-356
11687,A-111
21000,A-230
18316,A-46
296348,A-459
21491,A-37
15618,A-162
17636,A-58
10458,A-474
13423,A-230
17279,A-277
13843,A-421
18157,A-37
15653,A-10
16969,A-31
8546,A-482
18062,A-399
17334,A-470
13778,A-37
16124,A-49
294431,A-1
18180,A-202
16991,A-373
18174,A-399
296475,A-459
20995,A-137
14299,A-473
16737,A-229
12998,A-261
15504,A-41
16837,A-352
16476,A-40
16813,A-356
10405,A-9
17514,A-55
20996,A-137
17085,A-229
5026,A-55
17588,A-223
12947,A-71
18261,A-396
20405,A-391
11529,A-96
15517,A-157
14298,A-473
17366,A-27
291249,A-301
15705,A-4
17165,A-96
17083,A-229
16449,A-473
13832,A-261
18167,A-399
20654,A-36
17162,A-87
11563,A-96
294955,A-146
7403,A-425
19833,A-223
15321,A-1
17460,A-222
17574,A-112
15726,A-288
27218,A-54
5707,A-104
16174,A-110
18194,A-399
19860,A-23
15524,A-211
10875,A-66
16693,A-307
21046,A-357
16757,A-40
15996,A-464
17122,A-230
16131,A-465
20043,A-30
10121,A-144
20590,A-105
18032,A-252
296363,A-445
6531,A-60
16860,A-229
16259,A-4
16779,A-325
20884,A-237
15646,A-252
18152,A-257
12146,A-357
16179,A-315
13241,A-337
16048,A-266
12139,A-540
16987,A-29
26570,A-240
4864,A-87
10588,A-96
15451,A-206
15973,A-228
18620,A-38
13193,A-228
17074,A-352
17388,A-452
144639,A-396
16538,A-252
13438,A-230
12466,A-55
298721,A-177
6829,A-252
19043,A-37
17918,A-59
11881,A-96
296362,A-445
15114,A-37
17560,A-79
